product_name,stock_status,regular_price,images,product_category,product_brand,product_caliber,product_link
girsan-pistol-mc9-xtreme-barret-brown-cal-9mm-171rds-4-74-bbl-short-recoil-sa-red-dot-optic-6-25-interchangable-trigger-extended-slide-stop-mgzn-release-button-threaded-bbl-manual-safety,instock,46250.0,https://www.pbdionisio.com/wp-content/uploads/2023/02/0GRSN-MC9-XTREME-BB-1.jpg | https://www.pbdionisio.com/wp-content/uploads/2023/02/0GRSN-MC9-XTREME-BB-package.jpg,Pistol,Girsan,9x19mm Parabellum,https://www.pbdionisio.com/product/girsan-pistol-mc9-xtreme-barret-brown-cal-9mm-171rds-4-74-bbl-short-recoil-sa-red-dot-optic-6-25-interchangable-trigger-extended-slide-stop-mgzn-release-button-threaded-bbl-manual-safety
girsan-pistol-mc9-xtreme-black-cal-9mm-171rds-4-74-bbl-short-recoil-red-dot-optic-extended-slide-stop-mgzn-release-button-threaded-bbl-manual-safety-magwell,instock,44700.0,https://www.pbdionisio.com/wp-content/uploads/2023/02/0GRSN-MC9-XTREME-B-1.jpg | https://www.pbdionisio.com/wp-content/uploads/2023/02/0GRSN-MC9-XTREME-B-package.jpg,Pistol,Girsan,9x19mm Parabellum,https://www.pbdionisio.com/product/girsan-pistol-mc9-xtreme-black-cal-9mm-171rds-4-74-bbl-short-recoil-red-dot-optic-extended-slide-stop-mgzn-release-button-threaded-bbl-manual-safety-magwell
girsan-pistol-mc9-xtreme-two-tone-cal-9mm-171rds-4-74-bbl-short-recoil-sa-red-dot-optic-7-25-interchangable-trigger-extended-slide-stop-mgzn-release-button-threaded-bbl-manual-safety-ma,instock,44700.0,https://www.pbdionisio.com/wp-content/uploads/2023/02/0GRSN-MC9-XTREME-TT-1.jpg | https://www.pbdionisio.com/wp-content/uploads/2023/02/0GRSN-MC9-XTREME-TT-package.jpg,Pistol,Girsan,9x19mm Parabellum,https://www.pbdionisio.com/product/girsan-pistol-mc9-xtreme-two-tone-cal-9mm-171rds-4-74-bbl-short-recoil-sa-red-dot-optic-7-25-interchangable-trigger-extended-slide-stop-mgzn-release-button-threaded-bbl-manual-safety-ma
girsan-mc-9s-od-green-pistol,outofstock,31325.0,https://www.pbdionisio.com/wp-content/uploads/2020/02/mc-9s-od-green.jpg | https://www.pbdionisio.com/wp-content/uploads/1970/01/0GRSN-9MM-MC9S-ODG-package.jpg,Pistol,Girsan,9x19mm Parabellum,https://www.pbdionisio.com/product/girsan-mc-9s-od-green-pistol
girsan-pistol-model-mc28-sv2-cal-9mm-standard-series-1-model-polymer-frame-black-finish-4-25bbl-striker-fire-sa-15-rds,instock,27000.0,https://www.pbdionisio.com/wp-content/uploads/2019/07/Girsan-MC28-SV2-Black-Pistol.png,Pistol,Girsan,9x19mm Parabellum,https://www.pbdionisio.com/product/girsan-pistol-model-mc28-sv2-cal-9mm-standard-series-1-model-polymer-frame-black-finish-4-25bbl-striker-fire-sa-15-rds
girsan-recoil-spring-mc28,instock,800.0,https://www.pbdionisio.com/wp-content/uploads/2022/02/7GRSN-RS-MC28.jpg,Pins &amp; Springs,Girsan,,https://www.pbdionisio.com/product/girsan-recoil-spring-mc28
girsan-striker-spring-mc28,instock,350.0,https://www.pbdionisio.com/wp-content/uploads/2022/02/7GRSN-SS-MC28.jpg,Pins &amp; Springs,Girsan,,https://www.pbdionisio.com/product/girsan-striker-spring-mc28
girsan-trigger-assembly-mc28,instock,2000.0,https://www.pbdionisio.com/wp-content/uploads/2022/02/7GRSN-TA-MC28.jpg,Trigger &amp; Hammer,Girsan,,https://www.pbdionisio.com/product/girsan-trigger-assembly-mc28
hk-sling-mp5,instock,4100.0,https://www.pbdionisio.com/wp-content/uploads/2020/06/7HK-SLING.jpg,Other Accessories,,,https://www.pbdionisio.com/product/hk-sling-mp5
harris-hb4-universal-adapter-barrel-clamp,instock,3300.0,https://www.pbdionisio.com/wp-content/uploads/2016/08/7HRS-A-4.jpg,Other Accessories,Harris Bipod,,https://www.pbdionisio.com/product/harris-hb4-universal-adapter-barrel-clamp
harris-bipod-model-br-series-1a2-6-9-notchless,instock,11500.0,https://www.pbdionisio.com/wp-content/uploads/2020/06/7HRS-BP-BR-1A2.jpg,Other Accessories,Harris Bipod,,https://www.pbdionisio.com/product/harris-bipod-model-br-series-1a2-6-9-notchless
harris-bipod-model-brm-series-1a2-6-9-leg-notch,instock,11500.0,https://www.pbdionisio.com/wp-content/uploads/2020/06/7HRS-BP-BRM-1A2.jpg,Other Accessories,Harris Bipod,,https://www.pbdionisio.com/product/harris-bipod-model-brm-series-1a2-6-9-leg-notch
harris-bipod-model-brm-series-s-6-9-leg-notch,instock,16500.0,https://www.pbdionisio.com/wp-content/uploads/2020/06/7HRS-BP-BRM-S.jpg,Other Accessories,Harris Bipod,,https://www.pbdionisio.com/product/harris-bipod-model-brm-series-s-6-9-leg-notch
hbi-ak-style-safety-selector-for-cz-scorpion-evo-3,instock,3380.0,https://www.pbdionisio.com/wp-content/uploads/2022/05/7HBI-10031.jpg | https://www.pbdionisio.com/wp-content/uploads/2022/05/7HBI-10031-1.jpg | https://www.pbdionisio.com/wp-content/uploads/2022/05/7HBI-10031-2.jpg | https://www.pbdionisio.com/wp-content/uploads/2022/05/7HBI-10031-3.jpg | https://www.pbdionisio.com/wp-content/uploads/2022/05/7HBI-10031-4.jpg,Other Parts,HBI,,https://www.pbdionisio.com/product/hbi-ak-style-safety-selector-for-cz-scorpion-evo-3
hbi-ambi-thumb-safety-both-left-right-side-for-scorpion-evo-3,instock,4886.0,https://www.pbdionisio.com/wp-content/uploads/2022/05/7HBI-10195-96.jpg | https://www.pbdionisio.com/wp-content/uploads/2022/05/10196-1.jpg | https://www.pbdionisio.com/wp-content/uploads/2022/05/10195-3.jpg | https://www.pbdionisio.com/wp-content/uploads/2022/05/10195-2.jpg | https://www.pbdionisio.com/wp-content/uploads/2022/05/10195-1.jpg,Other Parts,HBI,,https://www.pbdionisio.com/product/hbi-ambi-thumb-safety-both-left-right-side-for-scorpion-evo-3
hbi-delta-6-5mm-extended-charging-handle-black-for-scopion-evo-3,instock,7035.0,https://www.pbdionisio.com/wp-content/uploads/2022/05/7HBI-10059-01.jpg | https://www.pbdionisio.com/wp-content/uploads/2022/05/7HBI-10059-01-1.jpg,Other Parts,HBI,,https://www.pbdionisio.com/product/hbi-delta-6-5mm-extended-charging-handle-black-for-scopion-evo-3
hbi-delta-6-5mm-extended-charging-handle-red-for-scopion-evo-3,instock,7035.0,https://www.pbdionisio.com/wp-content/uploads/2022/05/7HBI-10059-02.jpg | https://www.pbdionisio.com/wp-content/uploads/2022/05/7HBI-10059-02-1.jpg,Other Parts,HBI,,https://www.pbdionisio.com/product/hbi-delta-6-5mm-extended-charging-handle-red-for-scopion-evo-3
hbi-delta-trigger-black-for-scopion-evo-3,instock,4235.0,https://www.pbdionisio.com/wp-content/uploads/2022/05/7HBI-10060-01.jpg | https://www.pbdionisio.com/wp-content/uploads/2022/05/7HBI-10060-01-1.jpg,Trigger &amp; Hammer,HBI,,https://www.pbdionisio.com/product/hbi-delta-trigger-black-for-scopion-evo-3
hbi-delta-trigger-red-for-scopion-evo-3,instock,4235.0,https://www.pbdionisio.com/wp-content/uploads/2022/05/7HBI-10060-02-1.jpg | https://www.pbdionisio.com/wp-content/uploads/2022/05/7HBI-10060-02-1-1.jpg,Trigger &amp; Hammer,HBI,,https://www.pbdionisio.com/product/hbi-delta-trigger-red-for-scopion-evo-3
hbi-duckbill-mag-release-lever-aluminum-black-for-scopion-evo-3,instock,5957.0,https://www.pbdionisio.com/wp-content/uploads/2022/05/7HBI-10064-01.jpg | https://www.pbdionisio.com/wp-content/uploads/2022/05/7HBI-10064-01-1.jpg | https://www.pbdionisio.com/wp-content/uploads/2022/05/7HBI-10064-01-2.jpg | https://www.pbdionisio.com/wp-content/uploads/2022/05/7HBI-10064-01-3.jpg,Other Parts,HBI,,https://www.pbdionisio.com/product/hbi-duckbill-mag-release-lever-aluminum-black-for-scopion-evo-3
hbi-duckbill-mag-release-lever-polymer-black-for-scopion-evo-3,instock,6113.0,https://www.pbdionisio.com/wp-content/uploads/2022/05/7HBI-10077.jpg | https://www.pbdionisio.com/wp-content/uploads/2022/05/7HBI-10077-1.jpg | https://www.pbdionisio.com/wp-content/uploads/2022/05/7HBI-10077-2.jpg,Other Parts,HBI,,https://www.pbdionisio.com/product/hbi-duckbill-mag-release-lever-polymer-black-for-scopion-evo-3
hbi-extended-magazine-release-for-cz-p07-09-10,instock,4186.0,https://www.pbdionisio.com/wp-content/uploads/2022/05/7HBI-10071-2.jpg | https://www.pbdionisio.com/wp-content/uploads/2022/05/7HBI-10071-2-1.jpg | https://www.pbdionisio.com/wp-content/uploads/2022/05/7HBI-10071-3.jpg,Other Parts,HBI,,https://www.pbdionisio.com/product/hbi-extended-magazine-release-for-cz-p07-09-10
hbi-extended-magazine-release-reversible-p-10,instock,8855.0,https://www.pbdionisio.com/wp-content/uploads/2022/05/7HBI-10193.jpg | https://www.pbdionisio.com/wp-content/uploads/2022/05/7HBI-10193-1.jpg | https://www.pbdionisio.com/wp-content/uploads/2022/05/7HBI-10193-2.jpg,Other Parts,HBI,,https://www.pbdionisio.com/product/hbi-extended-magazine-release-reversible-p-10
hbi-m-lok-handguard-11-5-angle-complete-kit-black-for-scopion-evo-3,instock,17138.0,https://www.pbdionisio.com/wp-content/uploads/2022/05/7HBI-10070-03.jpg | https://www.pbdionisio.com/wp-content/uploads/2022/05/7HBI-10070-02.jpg,Other Parts,HBI,,https://www.pbdionisio.com/product/hbi-m-lok-handguard-11-5-angle-complete-kit-black-for-scopion-evo-3
hbi-reduced-weight-trigger-spring-kit,outofstock,875.0,https://www.pbdionisio.com/wp-content/uploads/2022/05/7HBI-10048.jpg,Pins &amp; Springs,HBI,,https://www.pbdionisio.com/product/hbi-reduced-weight-trigger-spring-kit
hbi-theta-forward-trigger-black-5mm-forward-position-evo-3,instock,4235.0,https://www.pbdionisio.com/wp-content/uploads/2022/05/7HBI-10050-01.jpg | https://www.pbdionisio.com/wp-content/uploads/2022/05/7HBI-10050-01-1.jpg | https://www.pbdionisio.com/wp-content/uploads/2022/05/7HBI-10050-01-2.jpg,Trigger &amp; Hammer,HBI,,https://www.pbdionisio.com/product/hbi-theta-forward-trigger-black-5mm-forward-position-evo-3
hbi-theta-stock-trigger-red-for-scopion-evo-3,instock,4057.0,https://www.pbdionisio.com/wp-content/uploads/2022/05/7HBI-10049-02.jpg | https://www.pbdionisio.com/wp-content/uploads/2022/05/7HBI-10049-02-1.jpg,Trigger &amp; Hammer,HBI,,https://www.pbdionisio.com/product/hbi-theta-stock-trigger-red-for-scopion-evo-3
hbi-theta-trigger-kit-w-striker-springs-tungsten-color-p-10,outofstock,8232.0,https://www.pbdionisio.com/wp-content/uploads/2022/05/7HBI-10105-04.jpg | https://www.pbdionisio.com/wp-content/uploads/2022/05/7HBI-10105-04-1.jpg,Trigger &amp; Hammer,HBI,,https://www.pbdionisio.com/product/hbi-theta-trigger-kit-w-striker-springs-tungsten-color-p-10
hbi-thumb-selector-left-side-only-for-scorpion-evo-3,instock,2783.0,https://www.pbdionisio.com/wp-content/uploads/2022/05/10196.jpg | https://www.pbdionisio.com/wp-content/uploads/2022/05/10196-1.jpg,Other Parts,HBI,,https://www.pbdionisio.com/product/hbi-thumb-selector-left-side-only-for-scorpion-evo-3
hbi-thumb-selector-right-side-only-for-scorpion-evo-3,instock,2783.0,https://www.pbdionisio.com/wp-content/uploads/2022/05/10195.jpg | https://www.pbdionisio.com/wp-content/uploads/2022/05/10195-1.jpg | https://www.pbdionisio.com/wp-content/uploads/2022/05/10195-2.jpg | https://www.pbdionisio.com/wp-content/uploads/2022/05/10195-3.jpg,Other Parts,HBI,,https://www.pbdionisio.com/product/hbi-thumb-selector-right-side-only-for-scorpion-evo-3
hbi-trigger-pack-hardware-refresh-kit,instock,708.0,https://www.pbdionisio.com/wp-content/uploads/2022/05/7HBI-10062.jpg,Other Parts,HBI,,https://www.pbdionisio.com/product/hbi-trigger-pack-hardware-refresh-kit
hbi-ultra-comp-for-scopion-evo-3,instock,9380.0,https://www.pbdionisio.com/wp-content/uploads/2022/05/7HBI-10263-4.jpg | https://www.pbdionisio.com/wp-content/uploads/2022/05/7HBI-10263-1.jpg | https://www.pbdionisio.com/wp-content/uploads/2022/05/7HBI-10263-2.jpg | https://www.pbdionisio.com/wp-content/uploads/2022/05/7HBI-10263-3.jpg,Other Parts,HBI,,https://www.pbdionisio.com/product/hbi-ultra-comp-for-scopion-evo-3
